Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Bloodrage,Standard Bloodrager,1,,"Each bloodrager has a source of internal power somewhere in his heritage that grants him the ability to bloodrage. Starting a bloodrager can bloodrage for a number of rounds per day equal to 4 + his Constitution modifier. At each level after 1st, he can bloodrage for 2 additional rounds per day. Temporary increases to Constitution, such as those gained from bloodrage and spells like bear’s endurance, don’t increase the total number of rounds that a bloodrager can bloodrage per day. The total number of rounds of bloodrage per day is renewed after resting for 8 hours, although these hours need not be consecutive. A bloodrager can enter a bloodrage as a free action. While in a bloodrage, a bloodrager gains a +4 morale bonus to his Strength and Constitution, as well as a +2 morale bonus on Will saving throws. In addition, he takes a –2 penalty to Armor Class. The increase to Constitution grants the bloodrager 2 hit points per Hit Dice, but these disappear when the bloodrage ends and are not lost first like temporary hit points. While in bloodrage, a bloodrager cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration. A bloodrager can end his bloodrage as a free action. When the bloodrage ends, he’s fatigued for a number of rounds equal to twice the number of rounds spent in the bloodrage. A bloodrager cannot enter a new bloodrage while fatigued or exhausted, but otherwise can enter bloodrage multiple times during a single encounter or combat. If a bloodrager falls unconscious, his bloodrage immediately ends, placing him in peril of death. In addition, the bloodrage gains additional bloodrage powers 4th level, and every four levels thereafter. The bloodrage powers a bloodrager gains are based on his bloodline. Bloodrage counts as the barbarian’s rage class ability for the purpose of qualifying for feat prerequisites, magic item abilities, and spell effects.",Bloodrager,0,,,
Fast Movement,Standard Bloodrager,1,,"A bloodrager’s land speed is faster than the norm for his race by 10 feet. This benefit applies only when he is wearing no armor, light armor, or medium armor, and while not carrying a heavy load. Apply this bonus before modifying the bloodrager’s speed because of any load carried or armor worn. This bonus stacks with any other bonuses to the bloodrager’s land speed.",Bloodrager,1,,,
Weapon And Armor Proficiency,Standard Bloodrager,1,,"Bloodragers are proficient with all simple weapons and martial weapons, light armor, medium armor, and shields (except tower shields). A bloodrager can cast bloodrager spells while wearing light armor or medium armor without incurring the normal arcane spell failure chance. Like other arcane spellcasters, a bloodrager wearing heavy armor or wielding a shield incurs a chance of arcane spell failure if the spell in question has somatic components. A multiclass bloodrager still incurs the normal arcane spell failure chance for arcane spells received from other classes.",Bloodrager,0,,,
Uncanny Dodge,Standard Bloodrager,2,,"A bloodrager gains the ability to react to danger before his senses would normally allow him to do so. He cannot be caught f latfooted, even if the attacker is invisible. He still loses his Dexterity bonus to AC if immobilized. A bloodrager with this ability can still lose his Dexterity bonus to AC if an opponent successfully uses the feint action against him. If a bloodrager already has uncanny dodge from a different class, he automatically gains improved uncanny dodge (see below) instead.",Bloodrager,1,,,
Blood Casting,Standard Bloodrager,4,,"the bloodrager gains the ability to cast spells while using bloodrage. While in a bloodrage, he can only cast bloodrager spells (see below); spells from other classes cannot be cast during this time.",Bloodrager,0,,,
Spells,Standard Bloodrager,4,,"Beginning a bloodrager gains the ability to cast a small number of arcane spells drawn from the magus spell list (see page 13 of Pathfinder RPG Ultimate Magic). To learn or cast a spell, a bloodrager must have a Charisma score equal to at least 10 + the spell level. He can cast spells he knows without preparing it ahead of time. The saving throw DC against a bloodrager’s spell is 10 + the spell level + the bloodrager’s Charisma modifier. A bloodrager’s highest level of spells is 4th. Magus spells of 5th level and above are not on the bloodrager class spell list, and a bloodrager cannot use spell completion or spell trigger magic items (without making a successful Use Magic Device check) of magus spells of 5th level or higher. Like other spellcasters, a bloodrager can cast only a certain number of spells of each level per day. His base daily spell allotment is given on Table 1–3. In addition, he receives bonus spells per day if he has a high Charisma score (Pathfinder RPG Core Rulebook 17, Table 1–3). The bloodrager does not need to prepare these spells in advance; he can cast them at any point during a bloodrage (as per his blood casting ability), assuming he hasn’t yet used up his spells per day for that level. The bloodrager’s selection of spells is limited. a bloodrager knows two 1st-level spells of the bloodrager’s choice at 4th level. A bloodrager gains more spells as he increases in level, as indicated on Table 1–4. (Unlike spells per day, the number of spells a bloodrager knows is not affected by his Charisma score, but it’s affected by the bonus bloodline spells he gains).",Bloodrager,1,,,
Improved Uncanny Dodge,Standard Bloodrager,5,,"A bloodrager can no longer be f lanked. This defense denies a rogue (or other class with the sneak attack ability) the ability to sneak attack the bloodrager by f lanking him, unless the attacker has at least four more rogue levels (or levels in the class granting sneak attack) than the target has bloodrager levels. If a character already has uncanny dodge (see above) from another class, the levels from the classes that grant uncanny dodge stack to determine the minimum rogue level required to f lank the character.",Bloodrager,0,,,
Damage Reduction,Standard Bloodrager,7,,"a bloodrager gains damage reduction. Subtract 1 from the damage the bloodrager takes each time he is dealt damage from a weapon or a natural attack. At 10th level, and every three bloodrager levels thereafter (13th, 16th, and 19th level), this damage reduction rises by 1 point. Damage reduction can reduce damage to 0 but not below 0.",Bloodrager,0,,,
Greater Bloodrage,Standard Bloodrager,11,,"when a barbarian enters rage, the morale bonus to his Strength and Constitution increases to +6 and the morale bonus on his Will saves increases to +3. For the purposes of qualifying for feat prerequisites, magic item abilities, and spell effects, greater bloodrage counts as the barbarian’s greater rage ability.",Bloodrager,0,,,
Indomitable Will,Standard Bloodrager,14,,"While in rage, a bloodrager of 14th level or higher gains a +4 bonus on Will saves to resist enchantment spells. This bonus stacks with all other modifiers, including the morale bonus on Will saves he also receives during his bloodrage.",Bloodrager,0,,,
Tireless Rage,Standard Bloodrager,17,,A bloodrager no longer becomes fatigued at the end of his bloodrage.,Bloodrager,0,,,
Mighty Rage,Standard Bloodrager,20,,"when a bloodrager enters rage, the morale bonus to his Strength and Constitution increases to +8, and the morale bonus on his Will saves increases to +4.",Bloodrager,0,,,
Martial Maneuvers,Standard Brawler,1,,A brawler can spend move action to gain benefit of a combat feat not possessed.,Brawler,1,,HalfLevel,
Unarmed Strike,Standard Brawler,1,,,Brawler,1,,,
Bonus Feats,Standard Brawler,2,,+{0} bonus combat feats.,Brawler,1,2,,
Brawlers Flurry,Standard Brawler,2,,"Make an attack at {0} which consist of punches, kicks, trips, disarms, or ???.",Brawler,1,,,
AC Bonus,Standard Brawler,4,,+{0} dodge bonus to AC and CMD when wearing light or no armor.,Brawler,1,,,
Brawler Strike,Standard Brawler,5,,Your unarmed attacks are treated as {0} for the purpose of overcomming DR and bypassing hardness.,Brawler,1,,,
Knockout,Standard Brawler,16,,Designate an attack to knock out a target for 1d6 rounds (Fort DC {0} to negate).,Brawler,1,,,
Awesome Blow,Standard Brawler,20,,"Gain a CM that on success knocks target back 10 feet, and does weapon or unarmed damage, and knocks target prone. If hits objects does 1d6 damage to both opponent and object.",Brawler,1,,,
Armor Proficiency,Emissary,1,,An emissary does not gain proficiency with heavy armor,Cavalier,,,,
Bonus Feats,Emissary,1,,"An emissary can select Endurance, Fleet, or Run in addition to the list of combat feats whenever he gains a bonus feat",Cavalier,,,,
In or Out of the Saddle,Emissary,1,Tactician,"At 1st level, an emissary gains Mounted Combat as a bonus feat In addition, he can move at normal speed when wearing medium armor This ability replaces tactician",Cavalier,,,,Ex
Battlefield Agility,Emissary,5,Banner,"At 5th level, an emissary learns to be more aware of the threats that surround him in combat, and shares this awareness with his loyal steed Both the emissary and his mount gain Mobility as a bonus feat This ability replaces banner",Cavalier,,,,Ex
Mounted Acrobatics,Emissary,9,Greater Tactician,"At 9th level, an emissary is even more adept at hopping on and off his steed, and even dropping alongside its flanks mid-gallop He gains Trick Riding as a bonus feat, even if he does not meet the prerequisites The emissary can employ this feat even when wearing medium armor This ability replaces greater tactician",Cavalier,,,,Ex
Mounted Dervish,Emissary,14,Greater Banner,"At 14th level, an emissary becomes a fearsome, mobile foe on the battlefield He gains Mounted Skirmisher as a bonus feat, even if he does not meet the prerequisites In addition, whenever the emissary is mounted and takes the charge action, he adds 10 feet to his mount's speed This ability replaces greater banner",Cavalier,,,,Ex
Erratic Charge,Emissary,17,Supreme Charge,"At 17th level, an emissary learns to ride through the thick of combat, striking and then moving away with blinding speed Whenever the emissary is mounted and takes the charge action, he can first move 10 feet and make a melee attack This first attack is not a charge, but a regular melee attack, and the movement counts toward the total allowed movement for the round After making this attack, the emissary must still move in a straight line to reach the target of his charge, and he takes a –5 penalty on the attack roll for the attack at the end of his charge This ability replaces supreme charge",Cavalier,,,,Ex
Bonus Feats,Gendarme,1,"Tactician, Greater Tactician, Master Tactician, And The Standard Cavalier's Selection Of Bonus Feats","Bonus Feats: A gendarme trains to be a mounted terror, almost to the exclusion of all other abilities He gains bonus feats at 1st level, 5th level, and then every three levels thereafter, but must select these bonus feats from the following list: Improved Bull Rush, Mounted Combat, Power Attack, Ride-By Attack, Spirited Charge, Spring Attack, and Unseat If the gendarme has already selected all of the listed feats, then he may select his bonus feats from those feats listed as combat feats This ability replaces tactician, greater tactician, master tactician, and the standard cavalier's selection of bonus feats",Cavalier,,,,
Transfixing Charge,Gendarme,20,Supreme Charge,"At 20th level, a gendarme represents the epitome of mounted combat Whenever he makes a charge attack while mounted, he deals triple the normal damage (quadruple if using a lance); this damage includes all increases from the Spirited Charge feat and from the use of a lance In addition, if the gendarme confirms a critical hit on a charge attack while mounted, the attack deals maximum damage for the weapon wielded Additional damage from weapon properties, magic effects, precision-based bonuses, or other increases are rolled normally This ability replaces supreme charge",Cavalier,,,,Ex
Sworn Defense,Honor Guard,1,,"At 1st level, whenever an honor guard issues a challenge, he can select one ally as his ward for the duration of the challenge Whenever the honor guard is adjacent to his ward, he takes a –1 penalty to Armor Class, and the ward receives a +1 dodge bonus to AC This modifies the challenge ability",Cavalier,,,,Ex
Intercept,Honor Guard,3,Cavalier's Charge,"At 3rd level, an honor guard learns to better disrupt the attacks of his enemies He gains Bodyguard (Advanced Player's Guide 151) as a bonus feat, even if he does not meet the prerequisite In addition, whenever the honor guard uses the aid another action to increase an ally's Armor Class, the bonus to Armor Class granted by the aid another action increases by +1 This ability replaces cavalier's charge",Cavalier,,,,Ex
Warding Charge,Honor Guard,11,Mighty Charge,"At 11th level, an honor guard can flash across the battlefield to protect his ward against the target of his challenge Whenever the target of the honor guard's challenge makes an attack against his ward, the honor guard can move up to his speed and make a single melee attack against the target of his challenge as an immediate action This movement and attack can be made as a charge if the movement qualifies This ability replaces mighty charge",Cavalier,,,,Ex
Defensive Challenge,Honor Guard,12,Demanding Challenge,"At 12th level, whenever an honor guard declares a challenge, his target must pay particular attention to him and his ability to intercept attacks As long as the target is within the threatened area of the cavalier, it takes a –2 penalty on attack rolls against anyone other than the honor guard This ability replaces demanding challenge",Cavalier,,,,Ex
Far Challenge,Luring Cavalier,1,,"Once per day, a luring cavalier can use his far challenge ability as a swift action When he does, the luring cavalier chooses one target within sight to challenge The luring cavalier's ranged attacks deal extra damage whenever the attacks are made against the target of his challenge This extra damage is equal to the luring cavalier's level The luring cavalier can use this ability once per day at 1st level, plus one additional time per day for every three levels beyond 1st, to a maximum of seven times per day at 19th level Furthermore, once per day, the luring cavalier may spend a use of his far challenge ability to double the potential extra damage of his ranged attack Before making the attack roll, he can choose to spend a use of his challenge to deal twice his cavalier level in extra damage on a successful hit instead of just his cavalier level in extra damage If the attack misses, the use of the challenge is wasted",Cavalier,,,,Ex
Careful Aim,Luring Cavalier,3,Cavalier's Charge,"At 3rd level, when a luring cavalier makes a ranged attack with his highest base attack bonus, he can ignore the penalties for firing up to three range increments away If he is using a firearm, he can target touch AC up to two range increments away This effect stacks with effects that allow the cavalier to make ranged attacks farther without penalty or that allow him to target touch AC with a firearm beyond the first range increment This ability replaces cavalier's charge",Cavalier,,,,Ex
Infuriating Aim,Luring Cavalier,11,Mighty Charge,"At 11th level, when a luring cavalier confirms a critical hit with a ranged attack made at his highest base attack bonus against the target of a far challenge, the target becomes infuriated for 1 round While infuriated, the target must spend its turn moving closer to the cavalier, making move, run, or charge actions only (challenged creature's choice) This is a mind-affecting effect This ability replaces mighty charge",Cavalier,,,,Ex
Versatile Challenge,Luring Cavalier,12,,"At 12th level, a luring cavalier can expend a use of his challenge to gain the benefit of far challenge or the normal cavalier challenge He can even change the type of challenge an opponent is under the effects of as a swift action, as long as the target of the challenge is within line of sight",Cavalier,,,,Ex
Supreme Aim,Luring Cavalier,20,Supreme Charge,"At 20th level, the luring cavalier gains the careful aim bonus and the effect of infuriating aim on all ranged attacks This ability replaces supreme charge",Cavalier,,,,Ex
Weapon and Armor Proficiency,Musketeer,1,,"A musketeer does not gain proficiency in heavy armor Musketeers are proficient with all simple and martial weapons, and with firearms A cavalier's levels stack with any fighter levels he possesses for the purpose of meeting the level prerequisite for feats that specifically select a firearm, such as Weapon Specialization",Cavalier,,,,
Gifted Firearm,Musketeer,1,,"At 1st level, a musketeer is gifted by his order with a firearm (either a pistol or a musket) This weapon is both a symbol of the cavalier's duty and a focus for much of his talent He cannot sell this weapon He also gains the Gunsmithing feat",Cavalier,,,,Ex
Swift Powder,Musketeer,4,Expert Trainer,"At 4th level, the musketeer gains Rapid Reload (musket) or Rapid Reload (pistol) as a bonus feat At 14th level, each time the musketeer issues a challenge, he may reload a wielded firearm as a free action This ability replaces expert trainer",Cavalier,,,,Ex
Banner,Standard Bearer,1,,"At 1st level, a standard bearer gains the banner ability This ability is identical to the standard cavalier's banner ability, except that the morale bonuses on saving throws against fear effects and on attack rolls made as part of a charge increase at 5th level, and every five levels thereafter This ability replaces the standard cavalier's mount ability",Cavalier,,,,Ex
Mount,Standard Bearer,5,,"At 5th level, a standard bearer gains the service of a loyal and trusted mount This mount is identical in all ways to the standard cavalier's mount This ability replaces the standard cavalier's banner ability",Cavalier,,,,Ex
Banner of Solace,Standard Bearer,11,Mighty Charge,"At 11th level, a standard bearer's banner becomes an even more potent symbol of protection and inspiration to those around him Once per day, while his banner is displayed, the standard bearer can wave it through the air as a full-round action, granting all allies within 60 feet temporary hit points equal to 1/2 his cavalier level, and a +2 morale bonus on their next damage rolls At 15th level, and every four levels thereafter, this bonus increases by +1 (to a maximum of +4 at 19th level) The temporary hit points last for 10 minutes or until depleted, whichever occurs first This ability replaces mighty charge",Cavalier,,,,Ex
Awesome Pennon,Standard Bearer,20,Supreme Charge,"At 20th level, a standard bearer's banner has become a powerful rallying point to his allies, and a bane to his foes Whenever his banner is visible, allies of the standard bearer within 60 feet gain a +1 morale bonus on attack rolls, immunity to fear effects, and a +3 morale bonus on saving throws against mind-affecting effects This ability replaces supreme charge",Cavalier,,,,Ex
Challenge,Standard Cavalier,1,,Deal additional damage to a target designated with a switft action {0} times per day.,Cavalier,0,,,
Mount,Standard Cavalier,1,,Gain a mount as druid animal companion ability.,Cavalier,0,,,
Mount,Standard Cavalier,1,,Gain the service of a loyal and trusty steed to carry him into battle.,Cavalier,0,,,
Order,Standard Cavalier,1,,A cavalier must pledge himself to a specific order.,Cavalier,0,,,
Tactician,Standard Cavalier,1,,{0} bonus teamwork feats that can be granted to allies as a standard action.,Cavalier,0,,,
Cavaliers Charge,Standard Cavalier,3,,+4 bonus on attack rolls during a mounted charge. No AC penalty.,Cavalier,1,,,
Expert Trainer,Standard Cavalier,4,,+{0} handle animal check when dealing with your mount.,Cavalier,0,,,
Banner,Standard Cavalier,5,,"Cavaliers banner grants a {0} morale bonus vs fear, {1} morale bonus on charge attack rolls.",Cavalier,0,,,
Bonus Feat,Standard Cavalier,6,,{0} bonus leadership feats.,Cavalier,1,,,
Greater Tactician,Standard Cavalier,9,,Gain an additional teamwork feat. Grant to allies as a swift action.,Cavalier,1,,,
Mighty Charge,Standard Cavalier,11,,"Mounted charge doubles weapon threat range. On sucess make a free bull rush, disarm, sunder, or trip maneuver that does not provoke an aoo.",Cavalier,1,,,
Demanding Challenge,Standard Cavalier,12,,Challenged enemies that are threatened by you take -2 AC penalty vs allies.,Cavalier,0,,,
Greater Banner,Standard Cavalier,14,,Banner offers a +2 morale bonus vs charm and compulsion spells and effects. As a standard action grant allies an additional save vs one spell effect.,Cavalier,0,,,
Master Tactician,Standard Cavalier,17,,Additional teamwork feat. Can grant 2 feats to allies as a swift action.,Cavalier,1,,,
Supreme Charge,Standard Cavalier,20,,"+1x damage, 2x with a lance, and stuns target for 1d4 rounds. Save for staggered.",Cavalier,1,,,
Tactician,Strategist,1,,"As the cavalier class feature, except that a strategist can use this ability once per day at 1st level, plus one additional time per day at 5th level and for every four levels thereafter (to a maximum of five times per day at 17th level)",Cavalier,,,,Ex
Drill Instructor,Strategist,4,Expert Trainer,"At 4th level, a strategist learns to train his fellow adventurers in the nuances of squad combat By spending 10 minutes and expending 1 use of his challenge ability, the strategist can grant the use of a teamwork feat that he knows to up to four of his allies, similar to the tactician ability As with tactician, allies need not meet the prerequisites of the granted feat, but they retain the use of this feat for 10 minutes plus 1 minute for every two levels the cavalier possesses, as long as the cavalier is visible and can be heard by his allies If the cavalier falls unconscious or cannot be both seen and heard, his allies lose the benefit of the granted feat until the condition is remedied This ability replaces expert trainer",Cavalier,,,,Ex
Tactical Advantage,Strategist,14,Greater Banner,"At 14th level, whenever a strategist uses his tactician ability to grant the use of a teamwork feat to his allies, he can move up to his speed as a free action either before or after granting the feat This movement provokes attacks of opportunity normally This ability replaces greater banner",Cavalier,,,,Ex
Strategic Supremacy,Strategist,18,Bonus Feat 18,"At 18th level, a strategist gains the ability not only to improve his allies' abilities, but also to disrupt the teamwork of his enemies Whenever the strategist uses the tactician ability, he can choose to cancel out the effects of one teamwork feat employed by any of his opponents within 30 feet instead of granting the use of a teamwork feat to his allies This ability replaces the cavalier's 18th-level bonus feat",Cavalier,,,,Ex
Diminished Spellcasting,Crusader,1,,"A crusader chooses only one domain and gains one fewer spell of each level than normal If this reduces the number to 0, she may cast spells of that level only if they are domain spells or if her Wisdom allows bonus spells of that level",Cleric,,,,
Bonus Feat,Crusader,1,,"Bonus Feat: A crusader gains a bonus feat at 1st level, then again at 5th level and every five levels thereafter (to a maximum of six at 20th level) These bonus feats must be chosen from the following list: Heavy Armor Proficiency, Improved Shield Bash, Martial Weapon Proficiency, Saving Shield, Shield Focus, Tower Shield Proficiency, and Weapon Focus* At 10th level, a crusader may also choose from the following feats: Exotic Weapon Proficiency, Greater Shield Focus, Greater Weapon Focus*, Improved Critical*, Shield Slam, Shield Specialization, and Weapon Specialization* At 20th level, a crusader may also choose from the following feats: Greater Shield Specialization and Greater Weapon Specialization* Bonus feats marked with an asterisk (*) must be applied to the favored weapon of the crusader's deity A crusader need not meet the normal class- or level-based prerequisites for these bonus feats",Cleric,,,,
Legions Blessing,Crusader,8,,"At 8th level, a crusader gains the ability to confer beneficial spells quickly to a large group of allies As a full-round action, the crusader may confer the effects of a single harmless spell with a range of touch to a number of creatures equal to half her cleric level The spell's range remains touch, so all intended recipients must be within the crusader's reach when the spell is cast Using the legion's blessing expends the prepared spell, but it also requires the crusader to sacrifice another prepared spell three levels higher, as when spontaneously using a cure or inflict spell The higher-level spell is not cast but is simply lost, its magical energy used to power the legion's blessing",Cleric,,,,Su
Domains,Divine Strategist,1,Domains: A Divine Strategist Gains Only A Single Domain,A divine strategist gains only a single domain,Cleric,,,,
Master Tactician,Divine Strategist,1,Channel Energy,"A divine strategist can always act in a surprise round even if she fails to make a Perception check to notice enemies, though she is considered flat-footed until she acts In addition, the divine strategist gains a bonus on initiative checks equal to 1/2 her cleric level At 20th level, a divine strategist's initiative roll is automatically a natural 20 Allies able to see and hear the divine strategist gain a bonus on initiative checks equal to 1/4 the divine strategist's level This is a language-dependent ability This ability replaces channel energy",Cleric,,,,Ex
Caster Support,Divine Strategist,1,,"A divine strategist can use the aid another action to assist another divine spellcaster, granting a +2 circumstance bonus on caster level checks and concentration checks until the beginning of the divine strategist's next turn This bonus increases by +1 at 4th level and every four levels thereafter (to a maximum of +7 at 20th level) The allied caster must remain adjacent to the divine strategist to gain this benefit Caster support can be used to assist arcane spellcasters or characters using magical items, but they gain only half the normal bonus",Cleric,,,,Su
Tactical Expertise,Divine Strategist,8,,"At 8th level, a divine strategist knows how to take best advantage of tactical opportunities Whenever she is flanking or makes an attack of opportunity, she may add her Intelligence bonus (if any) as a bonus on the attack roll In addition, once per day as a swift action she may add her Intelligence modifier as a bonus on any single d20 roll made as part of a readied action She can use this ability one additional time per day for every two levels after 8th",Cleric,,,,Ex
Single-Minded,Evangelist,1,,"An evangelist focuses her skills and learning on proclamation rather than the fine details of the church's deeper mysteries or martial training Thus, she may select only one domain and does not gain Medium Armor Proficiency or Shield Proficiency",Cleric,,,,
Public Speaker,Evangelist,1,,"An evangelist gains Perform as a class skill In addition, she is trained to project her voice with great skill and effect; the DC to hear her speak in difficult conditions is reduced by an amount equal to her class level plus her Charisma modifier (minimum 0)",Cleric,,,,
Sermonic Performance,Evangelist,1,,"Sermonic Performance: An evangelist gains the ability to deliver a select number of supernatural and spell-like performances through the force and power of her divinely inspired preaching and exhortation This ability is similar in all respects to bardic performance as used by a bard of the same level (including interactions with feats, spells, and prestige classes), using Perform (oratory) as the evangelist's performance skill However, an evangelist gains only the following types of bardic performance: countersong, fascinate, and inspire courage at 1st level; inspire greatness at 9th level; and inspire heroics at 15th level Sermonic performance replaces the 1st-, 9th-, and 15th-level channel energy abilities This caps the cleric's channel energy damage at 7d6 points",Cleric,,,,
Spontaneous Casting,Evangelist,1,,"Spontaneous Casting: An evangelist does not gain the ability to spontaneously cast cure or inflict spells by sacrificing prepared spells However, an evangelist can spontaneously cast the following spells by sacrificing a prepared spell of the noted level or above:",Cleric,,,,
Willing Healer,Merciful Healer,1,,"A merciful healer must choose the Healing domain She does not gain a second domain If the cleric worships a deity, that deity must be one that grants the Healing domain A merciful healer must channel positive energy",Cleric,,,,
Channel Energy,Merciful Healer,3,,"As the cleric ability, save that a merciful healer must channel positive energy, and when she does, she cannot choose to target undead This ability is otherwise identical to the cleric ability of the same name",Cleric,,,,Su
Combat Medic,Merciful Healer,3,,A merciful healer does not provoke attacks of opportunity when using the Heal skill to stabilize another creature or casting healing spells,Cleric,,,,Ex
Merciful Healing,Merciful Healer,3,,"Merciful Healing (Su): At 3rd level, a merciful healer can channel positive energy to relieve one or more harmful conditions The merciful healer chooses one of the following harmful conditions at 3rd level: fatigued, shaken, or sickened When the merciful healer channels energy she can remove the chosen condition from one living creature that she heals within her channel energy burst At 6th level, she can choose another condition It can be one of those she didn't choose at 3rd level, or one of the following conditions: dazed, diseased, or staggered She can remove the selected condition or the one she chose at 3rd level from up to two creatures within her channel energy burst She gains another condition at 9th level, and can choose an above condition or one of the following conditions: cursed, exhausted, frightened, nauseated, or poisoned She can remove that condition, or a condition she previously chose, from one or two creatures within the burst Finally, at 12th level, she can choose a lower-level condition or one of the following conditions: blinded, deafened, paralyzed, or stunned She can remove that condition or one she previously chose from one, two, or three creatures within her channel energy burst Feats and effects that affect a paladin's mercy also affect this ability",Cleric,,,,Su
True Healer,Merciful Healer,8,,"At 8th level, when a merciful healer channels holy energy, she can choose to apply the benefits of merciful healing or to reroll any 1s when determining how much damage she heals with the holy energy She must choose which benefit to take before she rolls to see how much damage she heals",Cleric,,,,Su
Aura,Standard Cleric,1,,"A cleric of a chaotic, evil, good, or lawful deity has a particularly powerful aura corresponding to the deity's alignment. Update your diety to resolve aura.",Cleric,0,,,
Bonus Languages,Standard Cleric,1,,,Cleric,0,,,
Channel Energy,Standard Cleric,1,,Channel Energy up to {0} times per day for {1}.,Cleric,1,,,
Domains,Standard Cleric,1,,Gain powers and spells from Domains.,Cleric,1,,,
Osirons,Standard Cleric,1,,Cast unlimited 0 level spells.,Cleric,1,,,
Skills,Standard Cleric,1,,,Cleric,1,,,
Spells,Standard Cleric,1,,Can cast spells that are prepared ahead of time. Max spells per day {0},Cleric,0,,,
Spontaneous Casting,Standard Cleric,1,,Trade spells for,Cleric,1,,,
Weapon and Armor Proficiency,Standard Dragon Disciple,1,,Dragon disciples gain no proficiency with any weapon or armor,Dragon Disciple,,,,
Spells per Day,Standard Dragon Disciple,1,,"At the indicated levels, a dragon disciple gains new spells per day as if he had also gained a level in an arcane spellcasting class he belonged to before adding the prestige class He does not, however, gain other benefits a character of that class would have gained, except for additional spells per day, spells known (if he is a spontaneous spellcaster), and an increased effective level of spellcasting If a character had more than one arcane spellcasting class before becoming a dragon disciple, he must decide to which class he adds the new level for purposes of determining spells per day",Dragon Disciple,,,,
Blood of Dragons,Standard Dragon Disciple,1,,"A dragon disciple adds his level to his sorcerer levels when determining the powers gained from his bloodline If the dragon disciple does not have levels of sorcerer, he instead gains bloodline powers of the draconic bloodline, using his dragon disciple level as his sorcerer level to determine the bonuses gained He must choose a dragon type upon gaining his first level in this class and that type must be the same as his sorcerer type This ability does not grant bonus spells to a sorcerer unless he possesses spell slots of an appropriate level Such bonus spells are automatically granted if the sorcerer gains spell slots of the spell's level",Dragon Disciple,,,,
Natural Armor Increase,Standard Dragon Disciple,1,,"Natural Armor Increase (Ex): As his skin thickens, a dragon disciple takes on more and more of his progenitor's physical aspect At 1st, 4th, and 7th level, a dragon disciple gains an increase to the character's existing natural armor (if any), as indicated on Table: Dragon Disciple These armor bonuses stack",Dragon Disciple,,,,Ex
Ability Boost,Standard Dragon Disciple,1,,"Ability Boost (Ex): As a dragon disciple gains levels in this prestige class, his ability scores increase as noted on Table: Dragon Disciple These increases stack and are gained as if through level advancement",Dragon Disciple,,,,Ex
Bloodline Feat,Standard Dragon Disciple,2,,"Upon reaching 2nd level, and every three levels thereafter, a dragon disciple receives one bonus feat, chosen from the draconic bloodline's bonus feat list",Dragon Disciple,,,,
Dragon Bite,Standard Dragon Disciple,2,,"At 2nd level, whenever the dragon disciple uses his bloodline to grow claws, he also gains a bite attack This is a primary natural attack that deals 1d6 points of damage (1d4 if the dragon disciple is Small), plus 1–1/2 times the dragon disciple's Strength modifier Upon reaching 6th level, this bite also deals 1d6 points of energy damage The type of damage dealt is determined by the dragon disciple's bloodline",Dragon Disciple,,,,Ex
Breath Weapon,Standard Dragon Disciple,3,,"At 3rd level, a dragon disciple gains the breath weapon bloodline power, even if his level does not yet grant that power Once his level is high enough to grant this ability through the bloodline, the dragon disciple gains an additional use of his breath weapon each day The type and shape of the breath weapon depends on the type of dragon selected by the dragon disciple, as detailed under the Draconic sorcerer bloodline description",Dragon Disciple,,,,Su
Blindsense,Standard Dragon Disciple,5,,"At 5th level, the dragon disciple gains blindsense with a range of 30 feet Using nonvisual senses the dragon disciple notices things he cannot see He usually does not need to make Perception checks to notice and pinpoint the location of creatures within range of his blindsense ability, provided that he has line of effect to that creature Any opponent the dragon disciple cannot see still has total concealment against him, and the dragon disciple still has the normal miss chance when attacking foes that have concealment Visibility still affects the movement of a creature with blindsense A creature with blindsense is still denied its Dexterity bonus to Armor Class against attacks from creatures it cannot see At 10th level, the range of this ability increases to 60 feet",Dragon Disciple,,,,Ex
Dragon Form,Standard Dragon Disciple,7,,"At 7th level, a dragon disciple can assume the form of a dragon This ability works like form of the dragon I At 10th level, this ability functions as form of the dragon II and the dragon disciple can use this ability twice per day His caster level for this effect is equal to his effective sorcerer levels for his draconic bloodline Whenever he casts form of the dragon, he must assume the form of a dragon of the same type as his bloodline",Dragon Disciple,,,,Sp
Wings,Standard Dragon Disciple,9,,"At 9th level, a dragon disciple gains the wings bloodline power, even if his level does not yet grant that power Once his level is high enough to grant this ability through the bloodline, the dragon disciple's speed increases to 90 feet",Dragon Disciple,,,,Su
Nature Bond,Ape Shaman,1,,"An ape shaman who chooses an animal companion must select an ape or related primate If choosing a domain, the ape shaman must choose from the Animal, Community (Family subdomain), Destruction (Rage subdomain), and Strength domains",Druid,,,,
Wild Empathy,Ape Shaman,1,,An ape shaman can use wild empathy with apes and other primates as a full-round action with a +4 bonus,Druid,,,,Ex
